                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1671,                 4.5892,                 1.1516,                 0.0011,                0.58333,                0.00151,                0.00106,                0.54245,                 3.9902,                0.91441,                0.09802,                  2e-05,                  2e-05
                      2,                0.68356,                 7.5438,                0.68693,                0.00109,                0.58333,                0.00285,                0.00222,                0.76798,                 3.6249,                0.98547,                0.09505,             4.9951e-05,             4.9951e-05
                      3,                0.97962,                 3.8612,                 1.0871,                 0.0011,                0.58333,                0.02187,                0.01316,                 1.3735,                 3.8967,                 1.2782,                0.09208,             7.9842e-05,             7.9842e-05
                      4,                0.81518,                 4.1853,                 1.0572,                0.00163,                0.66667,                0.11559,                0.07226,                 1.4182,                 3.9649,                 1.2785,                0.08911,             0.00010967,             0.00010967
                      5,                 0.9056,                 3.5488,                0.99882,                0.00131,                    0.5,                0.23959,                0.08496,                  1.324,                 3.8283,                 1.2623,               0.086139,             0.00013945,             0.00013945
                      6,                0.99607,                 3.3865,                 1.1321,                0.00177,                0.66667,                  0.217,                0.10039,                 1.3638,                 3.8214,                 1.2379,               0.083169,             0.00016916,             0.00016916
                      7,                0.91488,                 2.2142,                0.98508,                0.00198,                   0.75,                0.18284,                0.09576,                 1.3065,                 3.6877,                  1.227,               0.080199,             0.00019881,             0.00019881
                      8,                0.93235,                 2.5733,                 1.0067,                0.00223,                  0.875,                 0.2373,                0.12709,                 1.3154,                 3.6548,                 1.2295,               0.077228,             0.00022841,             0.00022841
                      9,                 0.9057,                 2.4438,                0.87413,                0.00247,                      1,                0.38764,                0.24494,                 1.2155,                 3.3477,                 1.1913,               0.074258,             0.00025794,             0.00025794
                     10,                0.92051,                 2.0242,                 1.0942,                0.00249,                      1,                0.45717,                0.28438,                 1.2508,                 3.2771,                   1.22,               0.071287,             0.00028742,             0.00028742
                     11,                  0.966,                 2.4656,                 1.1672,                0.00289,                      1,                0.48825,                0.29508,                 1.2953,                 3.3298,                 1.2895,               0.068317,             0.00031683,             0.00031683
                     12,                 1.0162,                 2.2887,                 1.0437,                0.00369,                      1,                0.53561,                0.31229,                 1.2491,                 3.3435,                 1.2583,               0.065346,             0.00034619,             0.00034619
